#K short	G0205
#scanned warm
Wavelength (nm)	%T
1634	0.013338
1635	0.0092055
1636	0.014076
1637	0.015457
1638	0.013359
1639	0.013133
1640	0.0095661
1641	0.01363
1642	0.015729
1643	0.015938
1644	0.018438
1645	0.013399
1646	0.01537
1647	0.013831
1648	0.015306
1649	0.013811
1650	0.012112
1651	0.016326
1652	0.013767
1653	0.0078539
1654	0.014555
1655	0.012529
1656	0.015839
1657	0.011244
1658	0.013764
1659	0.0099816
1660	0.011931
1661	0.013711
1662	0.0078119
1663	0.008356
1664	0.018447
1665	0.011806
1666	0.0081271
1667	0.0094735
1668	0.015015
1669	0.013373
1670	0.018823
1671	0.012892
1672	0.010412
1673	0.013357
1674	0.01588
1675	0.018796
1676	0.013758
1677	0.01548
1678	0.0179
1679	0.019207
1680	0.015778
1681	0.007366
1682	0.013774
1683	0.019649
1684	0.011149
1685	0.011266
1686	0.013288
1687	0.013405
1688	0.014178
1689	0.013366
1690	0.019186
1691	0.0086062
1692	0.012164
1693	0.013312
1694	0.012932
1695	0.018421
1696	0.011219
1697	0.015056
1698	0.0095022
1699	0.011316
1700	0.01109
1701	0.0086611
1702	0.013454
1703	0.014548
1704	0.011794
1705	0.015298
1706	0.014841
1707	0.0062953
1708	0.012296
1709	0.013405
1710	0.012091
1711	0.012958
1712	0.010925
1713	0.017415
1714	0.011704
1715	0.012568
1716	0.011241
1717	0.013319
1718	0.015016
1719	0.013823
1720	0.015825
1721	0.016263
1722	0.011183
1723	0.0079502
1724	0.014343
1725	0.014492
1726	0.01221
1727	0.013336
1728	0.0098756
1729	0.018032
1730	0.0057688
1731	0.01501
1732	0.013279
1733	0.010892
1734	0.013988
1735	0.0067167
1736	0.016166
1737	0.010443
1738	0.0079396
1739	0.011253
1740	0.017499
1741	0.010017
1742	0.01619
1743	0.012045
1744	0.010812
1745	0.012338
1746	0.012569
1747	0.011551
1748	0.0094585
1749	0.012046
1750	0.015692
1751	0.010816
1752	0.014468
1753	0.0099628
1754	0.017126
1755	0.015326
1756	0.014215
1757	0.011544
1758	0.0087035
1759	0.017949
1760	0.0079289
1761	0.011999
1762	0.013303
1763	0.012502
1764	0.014124
1765	0.018353
1766	0.016946
1767	0.013355
1768	0.014982
1769	0.012312
1770	0.011274
1771	0.014408
1772	0.013736
1773	0.015273
1774	0.016027
1775	0.012739
1776	0.013663
1777	0.016689
1778	0.014104
1779	0.014141
1780	0.012429
1781	0.016574
1782	0.013667
1783	0.012936
1784	0.0082992
1785	0.015352
1786	0.015781
1787	0.016224
1788	0.0074621
1789	0.017052
1790	0.0108
1791	0.013348
1792	0.0091065
1793	0.010142
1794	0.012279
1795	0.018308
1796	0.019561
1797	0.017495
1798	0.011115
1799	0.01535
1800	0.016137
1801	0.016581
1802	0.0083597
1803	0.014882
1804	0.015254
1805	0.015292
1806	0.014953
1807	0.013706
1808	0.012451
1809	0.016301
1810	0.0070433
1811	0.01298
1812	0.011196
1813	0.009828
1814	0.0064205
1815	0.015841
1816	0.010942
1817	0.014797
1818	0.012124
1819	0.015475
1820	0.006249
1821	0.014978
1822	0.0094318
1823	0.013603
1824	0.0065544
1825	0.010146
1826	0.01748
1827	0.012015
1828	0.015701
1829	0.014424
1830	0.016954
1831	0.0083684
1832	0.012088
1833	0.012023
1834	0.013149
1835	0.015114
1836	0.01463
1837	0.017365
1838	0.017596
1839	0.010982
1840	0.014918
1841	0.01468
1842	0.012814
1843	0.021646
1844	0.018334
1845	0.019896
1846	0.01457
1847	0.019297
1848	0.011054
1849	0.010895
1850	0.0085934
1851	0.011646
1852	0.011502
1853	0.011195
1854	0.0092422
1855	0.009042
1856	0.018257
1857	0.0073677
1858	0.014336
1859	0.012667
1860	0.012971
1861	0.014911
1862	0.0054334
1863	0.015242
1864	0.0081561
1865	0.013708
1866	0.012033
1867	0.018252
1868	0.01293
1869	0.019372
1870	0.010795
1871	0.011134
1872	0.010367
1873	0.018146
1874	0.013439
1875	0.012433
1876	0.012827
1877	0.018542
1878	0.013319
1879	0.018723
1880	0.012301
1881	0.014024
1882	0.012574
1883	0.021126
1884	0.012445
1885	0.016287
1886	0.011748
1887	0.012635
1888	0.0069738
1889	0.021888
1890	0.01471
1891	0.013874
1892	0.015834
1893	0.014376
1894	0.0087602
1895	0.01119
1896	0.013926
1897	0.015307
1898	0.013035
1899	0.015027
1900	0.014712
1901	0.016549
1902	0.017497
1903	0.012616
1904	0.017736
1905	0.01399
1906	0.020482
1907	0.020401
1908	0.017056
1909	0.023477
1910	0.022907
1911	0.024029
1912	0.020223
1913	0.025174
1914	0.026209
1915	0.023658
1916	0.024883
1917	0.023944
1918	0.02003
1919	0.024516
1920	0.019556
1921	0.026234
1922	0.025966
1923	0.028023
1924	0.025469
1925	0.026752
1926	0.030209
1927	0.024176
1928	0.030028
1929	0.033443
1930	0.03304
1931	0.034238
1932	0.040319
1933	0.044353
1934	0.037753
1935	0.043473
1936	0.046728
1937	0.05127
1938	0.052537
1939	0.060399
1940	0.063691
1941	0.074613
1942	0.069923
1943	0.070193
1944	0.07925
1945	0.086773
1946	0.093602
1947	0.097451
1948	0.10645
1949	0.11232
1950	0.12384
1951	0.1332
1952	0.13891
1953	0.15209
1954	0.16717
1955	0.17686
1956	0.18607
1957	0.20321
1958	0.21787
1959	0.23307
1960	0.2552
1961	0.27003
1962	0.29911
1963	0.317
1964	0.34198
1965	0.37063
1966	0.40428
1967	0.43808
1968	0.47027
1969	0.50766
1970	0.55211
1971	0.59779
1972	0.64683
1973	0.71372
1974	0.76869
1975	0.84008
1976	0.91584
1977	1.0032
1978	1.0934
1979	1.1986
1980	1.3047
1981	1.431
1982	1.5647
1983	1.7236
1984	1.8862
1985	2.0686
1986	2.2726
1987	2.5111
1988	2.7555
1989	3.0307
1990	3.3465
1991	3.6845
1992	4.0736
1993	4.5065
1994	4.9722
1995	5.4969
1996	6.0746
1997	6.7098
1998	7.3901
1999	8.321
2000	9.2212
2001	10.192
2002	11.283
2003	12.455
2004	13.8
2005	15.236
2006	16.862
2007	18.571
2008	20.43
2009	22.533
2010	24.692
2011	27.125
2012	29.723
2013	32.425
2014	35.253
2015	38.335
2016	41.49
2017	44.727
2018	48.155
2019	51.563
2020	54.992
2021	58.414
2022	61.766
2023	65.106
2024	68.221
2025	71.308
2026	74.141
2027	76.712
2028	79.087
2029	81.245
2030	83.091
2031	84.743
2032	86.131
2033	87.254
2034	88.171
2035	88.899
2036	89.441
2037	89.819
2038	90.075
2039	90.206
2040	90.255
2041	90.202
2042	90.107
2043	89.97
2044	89.794
2045	89.606
2046	89.424
2047	89.254
2048	89.073
2049	88.917
